Date,State,Petrol Price,Gold price(24k),Petrol_Change,Gold_Change
16-Jul-17,Tamil Nadu,66.57,2800,Na,Na
17-Jul-17,Tamil Nadu,66.61,2781,Increase,Decrease
18-Jul-17,Tamil Nadu,66.67,2792,Increase,Increase
19-Jul-17,Tamil Nadu,66.67,2805,Same,Increase
20-Jul-17,Tamil Nadu,66.72,2817,Increase,Increase
21-Jul-17,Tamil Nadu,66.75,2844,Increase,Increase
22-Jul-17,Tamil Nadu,66.77,2863,Increase,Increase
23-Jul-17,Tamil Nadu,66.88,2863,Increase,Same
24-Jul-17,Tamil Nadu,67.01,2864,Increase,Increase
25-Jul-17,Tamil Nadu,67.05,2857,Increase,Decrease
26-Jul-17,Tamil Nadu,67.06,2844,Increase,Decrease
27-Jul-17,Tamil Nadu,67.07,2867,Increase,Increase
28-Jul-17,Tamil Nadu,67.18,2859,Increase,Decrease
29-Jul-17,Tamil Nadu,67.37,2873,Increase,Increase
30-Jul-17,Tamil Nadu,67.51,2873,Increase,Same
31-Jul-17,Tamil Nadu,67.78,2872,Increase,Decrease
01-Aug-17,Tamil Nadu,67.71,2873,Decrease,Increase
02-Aug-17,Tamil Nadu,67.78,2863,Increase,Decrease
03-Aug-17,Tamil Nadu,68.02,2847,Increase,Decrease
04-Aug-17,Tamil Nadu,68.34,2867,Increase,Increase
05-Aug-17,Tamil Nadu,68.64,2848,Increase,Decrease
06-Aug-17,Tamil Nadu,68.88,2841,Increase,Decrease
07-Aug-17,Tamil Nadu,69.03,2847,Increase,Increase
08-Aug-17,Tamil Nadu,69.13,2853,Increase,Increase
09-Aug-17,Tamil Nadu,69.2,2863,Increase,Increase
10-Aug-17,Tamil Nadu,69.35,2944,Increase,Increase
11-Aug-17,Tamil Nadu,69.68,2923,Increase,Decrease
12-Aug-17,Tamil Nadu,69.92,2922,Increase,Decrease
13-Aug-17,Tamil Nadu,70.19,2922,Increase,Same
14-Aug-17,Tamil Nadu,70.4,2907,Increase,Decrease
15-Aug-17,Tamil Nadu,70.53,2907,Increase,Same
16-Aug-17,Tamil Nadu,70.59,2886,Increase,Decrease
17-Aug-17,Tamil Nadu,70.7,2915,Increase,Increase
18-Aug-17,Tamil Nadu,70.76,2935,Increase,Increase
19-Aug-17,Tamil Nadu,70.83,2897,Increase,Decrease
20-Aug-17,Tamil Nadu,70.85,2897,Increase,Same
21-Aug-17,Tamil Nadu,71.01,2896,Increase,Decrease
22-Aug-17,Tamil Nadu,71.15,2911,Increase,Increase
23-Aug-17,Tamil Nadu,71.22,2909,Increase,Decrease
24-Aug-17,Tamil Nadu,71.37,2903,Increase,Decrease
25-Aug-17,Tamil Nadu,71.51,2913,Increase,Increase
26-Aug-17,Tamil Nadu,71.52,2913,Increase,Same
27-Aug-17,Tamil Nadu,71.56,2913,Increase,Same
28-Aug-17,Tamil Nadu,71.6,2935,Increase,Increase
29-Aug-17,Tamil Nadu,71.62,2991,Increase,Increase
30-Aug-17,Tamil Nadu,71.62,2964,Same,Decrease
31-Aug-17,Tamil Nadu,71.66,2962,Increase,Decrease
01-Sep-17,Tamil Nadu,71.78,2987,Increase,Increase
02-Sep-17,Tamil Nadu,71.95,2995,Increase,Increase
03-Sep-17,Tamil Nadu,72.08,2995,Increase,Same
04-Sep-17,Tamil Nadu,72.2,3025,Increase,Increase
05-Sep-17,Tamil Nadu,72.25,3012,Increase,Decrease
06-Sep-17,Tamil Nadu,72.25,3030,Same,Increase
07-Sep-17,Tamil Nadu,72.34,3023,Increase,Decrease
08-Sep-17,Tamil Nadu,72.44,3047,Increase,Increase
09-Sep-17,Tamil Nadu,72.58,3040,Increase,Decrease
10-Sep-17,Tamil Nadu,72.73,3040,Increase,Same
11-Sep-17,Tamil Nadu,72.87,3018,Increase,Decrease
12-Sep-17,Tamil Nadu,72.95,3000,Increase,Decrease
13-Sep-17,Tamil Nadu,72.95,3012,Same,Increase
14-Sep-17,Tamil Nadu,72.97,2996,Increase,Decrease
15-Sep-17,Tamil Nadu,73.01,3005,Increase,Increase
16-Sep-17,Tamil Nadu,73.06,2997,Increase,Decrease
17-Sep-17,Tamil Nadu,73.09,2997,Increase,Same
18-Sep-17,Tamil Nadu,73.09,2980,Same,Decrease
19-Sep-17,Tamil Nadu,73.1,2975,Increase,Decrease
20-Sep-17,Tamil Nadu,73.1,2989,Same,Increase
21-Sep-17,Tamil Nadu,73.1,2971,Same,Decrease
22-Sep-17,Tamil Nadu,73.05,2974,Decrease,Increase
23-Sep-17,Tamil Nadu,73,2973,Decrease,Decrease
24-Sep-17,Tamil Nadu,72.97,2973,Decrease,Same
25-Sep-17,Tamil Nadu,72.99,2974,Increase,Increase
26-Sep-17,Tamil Nadu,72.99,3016,Same,Increase
27-Sep-17,Tamil Nadu,72.99,2996,Same,Decrease
28-Sep-17,Tamil Nadu,73.04,2974,Increase,Decrease
29-Sep-17,Tamil Nadu,73.15,2977,Increase,Increase
30-Sep-17,Tamil Nadu,73.25,2984,Increase,Increase
